num_wavefunction, num_operator, time
3401, 91, 70880, 1954
3501, 91, 71003, 2029
3601, 91, 71165, 2177
3701, 91, 74433, 2339
3801, 91, 76069, 2104
3901, 91, 74498, 2035
4001, 91, 72526, 2159
4101, 91, 70316, 2193
4201, 91, 72715, 2131
4301, 91, 73668, 2367
4401, 91, 77765, 2150
4501, 91, 69927, 2079
4601, 91, 74444, 2062
4701, 91, 72861, 2019
4801, 91, 70862, 2034
4901, 91, 75165, 2033
5001, 91, 71760, 2043
5101, 91, 68799, 2022
5201, 91, 77075, 2029
5301, 91, 74436, 2035
5401, 91, 72898, 2052
5501, 91, 73841, 2173
5601, 91, 76947, 2168
5701, 91, 73527, 2054
5801, 91, 73392, 2055
5901, 91, 74757, 2056
6001, 91, 74262, 2055
6101, 91, 70826, 2052
6201, 91, 69994, 2043
6301, 91, 74101, 2115
6401, 91, 74832, 2819
6501, 91, 69481, 2050
6601, 91, 76198, 2308
6701, 91, 74819, 2131
6801, 91, 74028, 2189
6901, 91, 76119, 2065
7001, 91, 73182, 2180
7101, 91, 75121, 2189
7201, 91, 71780, 2119
7301, 91, 72250, 2264
7401, 91, 69116, 2180
7501, 91, 74170, 2071
7601, 91, 76047, 2068
7701, 91, 71148, 2065
7801, 91, 68079, 2066
7901, 91, 72334, 2191
8001, 91, 73224, 2065
8101, 91, 76956, 2307
8201, 91, 78920, 2827
8301, 91, 71712, 2070
8401, 91, 73234, 2073
8501, 91, 78061, 2072
8601, 91, 73601, 2067
8701, 91, 78601, 2073
8801, 91, 74484, 2068
8901, 91, 75738, 2068
9001, 91, 74502, 2072
9101, 91, 73023, 2077
9201, 91, 74658, 2272
9301, 91, 73368, 2075
9401, 91, 74187, 2196
9501, 91, 75104, 2272
9601, 91, 74423, 2133
9701, 91, 79027, 2324
9801, 91, 78857, 2075
9901, 91, 75629, 2067
