num_wavefunction, num_electrons, time, size
5901, 7, 82914, 6455
6001, 7, 107242, 6054
6101, 7, 85819, 6151
6201, 7, 103443, 6259
6301, 7, 109280, 6874
6401, 7, 107093, 6445
6501, 7, 107736, 6540
6601, 7, 109019, 7211
6701, 7, 109009, 7312
6801, 7, 109682, 7418
6901, 7, 106905, 6950
7001, 7, 108053, 7066
7101, 7, 108391, 7167
7201, 7, 109833, 7871
7301, 7, 106726, 7373
7401, 7, 108373, 8138
7501, 7, 108179, 8210
7601, 7, 106881, 8328
7701, 7, 108600, 8487
7801, 7, 109136, 7864
7901, 7, 110200, 7972
8001, 7, 131748, 8067
8101, 7, 113366, 8861
8201, 7, 130937, 8267
8301, 7, 135443, 8387
8401, 7, 135005, 8461
8501, 7, 135129, 8579
8601, 7, 135322, 9394
8701, 7, 134409, 8761
8801, 7, 135399, 9683
8901, 7, 135742, 9799
9001, 7, 135091, 9810
9101, 7, 134939, 9975
9201, 7, 135542, 9267
9301, 7, 135206, 9365
9401, 7, 135212, 9484
9501, 7, 133379, 9561
9601, 7, 136201, 9677
9701, 7, 135541, 9773
9801, 7, 136951, 10722
9901, 7, 158005, 10771
1, 8, 8964, 1
101, 8, 2651, 112
201, 8, 26230, 203
301, 8, 5256, 301
401, 8, 24754, 445
501, 8, 28380, 512
601, 8, 27985, 606
701, 8, 27927, 709
801, 8, 29513, 896
901, 8, 26341, 908
1001, 8, 28612, 1103
1101, 8, 27310, 1222
1201, 8, 27664, 1217
1301, 8, 29363, 1416
1401, 8, 26678, 1566
1501, 8, 29077, 1654
1601, 8, 26451, 1616
1701, 8, 28348, 1866
1801, 8, 28617, 1982
1901, 8, 27028, 1917
2001, 8, 28909, 2225
2101, 8, 52754, 2333
2201, 8, 31675, 2221
2301, 8, 52788, 2327
2401, 8, 53780, 2424
2501, 8, 55560, 2785
2601, 8, 55219, 2874
2701, 8, 55280, 2982
2801, 8, 54095, 3123
2901, 8, 55682, 3233
3001, 8, 53077, 3298
3101, 8, 54075, 3138
3201, 8, 54673, 3534
3301, 8, 46971, 3666
3401, 8, 53575, 3437
3501, 8, 55482, 3536
3601, 8, 54755, 3635
3701, 8, 64137, 4118
3801, 8, 54371, 3845
3901, 8, 56048, 4299
4001, 8, 79715, 4430
4101, 8, 80055, 4523
4201, 8, 82916, 4618
4301, 8, 80705, 4336
4401, 8, 82159, 4875
4501, 8, 80643, 4970
4601, 8, 82689, 4633
4701, 8, 80216, 4758
4801, 8, 82922, 4850
4901, 8, 80393, 5384
5001, 8, 80909, 5501
5101, 8, 82148, 5140
5201, 8, 81557, 5262
5301, 8, 80769, 5363
5401, 8, 80927, 5453
5501, 8, 80526, 5553
5601, 8, 83223, 5646
5701, 8, 80216, 5767
5801, 8, 81610, 5849
5901, 8, 83118, 5965
6001, 8, 104311, 6676
6101, 8, 86056, 6751
6201, 8, 103659, 6873
6301, 8, 108481, 6974
6401, 8, 108333, 7079
6501, 8, 108704, 7180
6601, 8, 106534, 6678
6701, 8, 108481, 7416
6801, 8, 109340, 6868
6901, 8, 108031, 7640
7001, 8, 108257, 7675
7101, 8, 107354, 7175
7201, 8, 107366, 7274
7301, 8, 108367, 7373
7401, 8, 107784, 8165
7501, 8, 107249, 8264
7601, 8, 109188, 8352
7701, 8, 108053, 7798
7801, 8, 109502, 8658
7901, 8, 133089, 7989
8001, 8, 112486, 8896
8101, 8, 129722, 8179
8201, 8, 135452, 9025
8301, 8, 134637, 9203
8401, 8, 133896, 9314
8501, 8, 135970, 9433
8601, 8, 134735, 8688
8701, 8, 134015, 8795
8801, 8, 135198, 8882
8901, 8, 134552, 8985
9001, 8, 135513, 9995
9101, 8, 132956, 9194
9201, 8, 136063, 10153
9301, 8, 134954, 10292
9401, 8, 132650, 9516
9501, 8, 135006, 9607
9601, 8, 137040, 10616
9701, 8, 136233, 10722
9801, 8, 137443, 9915
9901, 8, 155137, 10916
1, 9, 9590, 1
101, 9, 2635, 114
201, 9, 3868, 224
301, 9, 23314, 325
401, 9, 27906, 436
501, 9, 28250, 561
601, 9, 27044, 662
701, 9, 29578, 780
801, 9, 27793, 815
901, 9, 28398, 919
1001, 9, 27565, 1013
1101, 9, 28387, 1228
1201, 9, 26851, 1213
1301, 9, 27391, 1309
1401, 9, 28112, 1547
1501, 9, 28333, 1521
1601, 9, 28352, 1785
1701, 9, 25770, 1904
1801, 9, 29452, 1821
1901, 9, 27305, 1924
2001, 9, 28989, 2225
2101, 9, 54349, 2338
2201, 9, 53267, 2230
2301, 9, 55487, 2328
2401, 9, 54462, 2674
2501, 9, 54604, 2792
2601, 9, 55065, 2643
2701, 9, 55757, 3006
2801, 9, 53851, 3114
2901, 9, 55681, 2945
3001, 9, 53670, 3032
3101, 9, 53967, 3135
3201, 9, 54641, 3243
3301, 9, 53846, 3334
3401, 9, 55381, 3431
3501, 9, 54635, 3911
3601, 9, 54272, 3998
3701, 9, 53002, 3737
3801, 9, 54346, 4229
3901, 9, 55532, 3959
4001, 9, 57058, 4460
4101, 9, 77685, 4151
4201, 9, 80633, 4674
4301, 9, 82383, 4776
4401, 9, 80903, 4458
4501, 9, 81137, 4564
4601, 9, 82720, 5124
4701, 9, 79984, 4757
4801, 9, 81917, 4850
4901, 9, 81137, 4976
5001, 9, 81939, 5067
5101, 9, 80577, 5689
5201, 9, 81529, 5791
5301, 9, 80530, 5902
5401, 9, 80424, 6025
5501, 9, 80483, 6150
5601, 9, 82521, 6243
5701, 9, 80715, 6351
5801, 9, 81975, 6467
5901, 9, 106016, 5970
6001, 9, 106753, 6698
6101, 9, 86087, 6168
6201, 9, 103718, 6905
